komentar;cleaning;tokenize;normalize;stopword
Enak buat istirahat dan foto foto;Enak buat istirahat dan foto foto;['enak', 'buat', 'istirahat', 'dan', 'foto', 'foto'];['enak', 'buat', 'istirahat', 'dan', 'foto', 'foto'];['enak', 'istirahat', 'foto', 'foto']
Bagus viewnya;Bagus viewnya;['bagus', 'viewnya'];['bagus', 'viewnya'];['bagus', 'viewnya']
Pemandangan mantap dan murah;Pemandangan mantap dan murah;['pemandangan', 'mantap', 'dan', 'murah'];['pemandangan', 'mantap', 'dan', 'murah'];['pemandangan', 'mantap', 'murah']
Mantap, jos buat keluarga;Mantap jos buat keluarga;['mantap', 'jos', 'buat', 'keluarga'];['mantap', 'jos', 'buat', 'keluarga'];['mantap', 'jos', 'keluarga']
Enak buat cuci mata;Enak buat cuci mata;['enak', 'buat', 'cuci', 'mata'];['enak', 'buat', 'cuci', 'mata'];['enak', 'cuci', 'mata']
Jslan krg lebar n prasarana krg;Jslan krg lebar n prasarana krg;['jslan', 'krg', 'lebar', 'n', 'prasarana', 'krg'];['jslan', 'krg', 'lebar', 'n', 'prasarana', 'krg'];['jslan', 'krg', 'lebar', 'prasarana', 'krg']
Panas banget kalau siang;Panas banget kalau siang;['panas', 'banget', 'kalau', 'siang'];['panas', 'banget', 'kalau', 'siang'];['panas', 'banget', 'siang']
Asik buat berlibur;Asik buat berlibur;['asik', 'buat', 'berlibur'];['asik', 'buat', 'berlibur'];['asik', 'berlibur']
Menyenangkan buat para bikers;Menyenangkan buat para bikers;['menyenangkan', 'buat', 'para', 'bikers'];['menyenangkan', 'buat', 'para', 'bikers'];['menyenangkan', 'bikers']
Tempatnya bagus;Tempatnya bagus;['tempatnya', 'bagus'];['tempatnya', 'bagus'];['tempatnya', 'bagus']
Seruuuuu.....;Seruuuuu;['seruuuuu'];['seruuuuu'];['seruuuuu']
Sesuainya untuk muda mudi;Sesuainya untuk muda mudi;['sesuainya', 'untuk', 'muda', 'mudi'];['sesuainya', 'untuk', 'muda', 'mudi'];['sesuainya', 'muda', 'mudi']
Bagussss banget....;Bagussss banget;['bagussss', 'banget'];['bagus', 'banget'];['bagus', 'banget']
Boekit Tinggi Daramista;Boekit Tinggi Daramista;['boekit', 'tinggi', 'daramista'];['boekit', 'tinggi', 'daramista'];['boekit', 'daramista']
wisata madura yang bagus;wisata madura yang bagus;['wisata', 'madura', 'yang', 'bagus'];['wisata', 'madura', 'yang', 'bagus'];['wisata', 'madura', 'bagus']
Lumayan menghibur;Lumayan menghibur;['lumayan', 'menghibur'];['lumayan', 'menghibur'];['lumayan', 'menghibur']
Boekit tinggi bergoyang;Boekit tinggi bergoyang;['boekit', 'tinggi', 'bergoyang'];['boekit', 'tinggi', 'bergoyang'];['boekit', 'bergoyang']
Tempatnya bagus;Tempatnya bagus;['tempatnya', 'bagus'];['tempatnya', 'bagus'];['tempatnya', 'bagus']
Bagus ala ala malang;Bagus ala ala malang;['bagus', 'ala', 'ala', 'malang'];['bagus', 'ala', 'ala', 'malang'];['bagus', 'ala', 'ala', 'malang']
Pemandangan yang indah;Pemandangan yang indah;['pemandangan', 'yang', 'indah'];['pemandangan', 'yang', 'indah'];['pemandangan', 'indah']
Good nice mantap;Good nice mantap;['good', 'nice', 'mantap'];['good', 'nice', 'mantap'];['good', 'nice', 'mantap']
Keren abis;Keren abis;['keren', 'abis'];['keren', 'habis'];['keren', 'habis']
Lumayan bagus;Lumayan bagus;['lumayan', 'bagus'];['lumayan', 'bagus'];['lumayan', 'bagus']
bagus;bagus;['bagus'];['bagus'];['bagus']
bagus;bagus;['bagus'];['bagus'];['bagus']
Sejuk;Sejuk;['sejuk'];['sejuk'];['sejuk']
Indah;Indah;['indah'];['indah'];['indah']
Mantap jiwA;Mantap jiwA;['mantap', 'jiwa'];['mantap', 'jiwa'];['mantap', 'jiwa']
Wow;Wow;['wow'];['wow'];['wow']
Boekit tinggi;Boekit tinggi;['boekit', 'tinggi'];['boekit', 'tinggi'];['boekit']
Lumayan ;Lumayan;['lumayan'];['lumayan'];['lumayan']
Kurang sip;Kurang sip;['kurang', 'sip'];['kurang', 'sip'];['sip']
Menyenangkan;Menyenangkan;['menyenangkan'];['menyenangkan'];['menyenangkan']
Seruu..keren;Seruukeren;['seruukeren'];['seruukeren'];['seruukeren']
Instagramable;Instagramable;['instagramable'];['instagramable'];['instagramable']
Bagus;Bagus;['bagus'];['bagus'];['bagus']
Pada dasarnya ini adalah tempat yang menarik, tetapi manajemen harus meningkatkan lokasi foto dan jalur pejalan …;Pada dasarnya ini adalah tempat yang menarik tetapi manajemen harus meningkatkan lokasi foto dan jalur pejalan;['pada', 'dasarnya', 'ini', 'adalah', 'tempat', 'yang', 'menarik', 'tetapi', 'manajemen', 'harus', 'meningkatkan', 'lokasi', 'foto', 'dan', 'jalur', 'pejalan'];['pada', 'dasarnya', 'ini', 'adalah', 'tempat', 'yang', 'menarik', 'tetapi', 'manajemen', 'harus', 'meningkatkan', 'lokasi', 'foto', 'dan', 'jalur', 'pejalan'];['dasarnya', 'menarik', 'manajemen', 'meningkatkan', 'lokasi', 'foto', 'jalur', 'pejalan']
Tidak terlalu buruk, tapi madura selalau bagus …;Tidak terlalu buruk tapi madura selalau bagus;['tidak', 'terlalu', 'buruk', 'tapi', 'madura', 'selalau', 'bagus'];['tidak', 'terlalu', 'buruk', 'tapi', 'madura', 'selalau', 'bagus'];['buruk', 'madura', 'selalau', 'bagus']
Pemandangan indah dengan seni romantisme untuk berfoto, banyak remaja ya …;Pemandangan indah dengan seni romantisme untuk berfoto banyak remaja ya;['pemandangan', 'indah', 'dengan', 'seni', 'romantisme', 'untuk', 'berfoto', 'banyak', 'remaja', 'ya'];['pemandangan', 'indah', 'dengan', 'seni', 'romantisme', 'untuk', 'berfoto', 'banyak', 'remaja', 'ya'];['pemandangan', 'indah', 'seni', 'romantisme', 'berfoto', 'remaja']
Menyenangkan sekalii …;Menyenangkan sekalii;['menyenangkan', 'sekalii'];['menyenangkan', 'sekali'];['menyenangkan']
Buat yang suka spot selfie jalan raya, lumayan buat kamu;Buat yang suka spot selfie jalan raya lumayan buat kamu;['buat', 'yang', 'suka', 'spot', 'selfie', 'jalan', 'raya', 'lumayan', 'buat', 'kamu'];['buat', 'yang', 'suka', 'spot', 'selfie', 'jalan', 'raya', 'lumayan', 'buat', 'kamu'];['suka', 'spot', 'selfie', 'jalan', 'raya', 'lumayan']
Luar biasa, layak. Tempat yang bagus untuk melarikan  …;Luar biasa layak Tempat yang bagus untuk melarikan;['luar', 'biasa', 'layak', 'tempat', 'yang', 'bagus', 'untuk', 'melarikan'];['luar', 'biasa', 'layak', 'tempat', 'yang', 'bagus', 'untuk', 'melarikan'];['layak', 'bagus', 'melarikan']
Foto saya saat berwisata ke Boekit Tinggi Daramesta Lenteng Tinj …;Foto saya saat berwisata ke Boekit Tinggi Daramesta Lenteng Tinj;['foto', 'saya', 'saat', 'berwisata', 'ke', 'boekit', 'tinggi', 'daramesta', 'lenteng', 'tinj'];['foto', 'saya', 'saat', 'berwisata', 'ke', 'boekit', 'tinggi', 'daramesta', 'lenteng', 'tinj'];['foto', 'berwisata', 'boekit', 'daramesta', 'lenteng', 'tinj']
Tidak tahu harus saya sebut tempat ini sebagai wisata atau tidak, itu tidak …;Tidak tahu harus saya sebut tempat ini sebagai wisata atau tidak itu tidak;['tidak', 'tahu', 'harus', 'saya', 'sebut', 'tempat', 'ini', 'sebagai', 'wisata', 'atau', 'tidak', 'itu', 'tidak'];['tidak', 'tahu', 'harus', 'saya', 'sebut', 'tempat', 'ini', 'sebagai', 'wisata', 'atau', 'tidak', 'itu', 'tidak'];['wisata']
Pemandangan kota dari dataran tinggi;Pemandangan kota dari dataran tinggi;['pemandangan', 'kota', 'dari', 'dataran', 'tinggi'];['pemandangan', 'kota', 'dari', 'dataran', 'tinggi'];['pemandangan', 'kota', 'dataran']
Buat situs kencan;Buat situs kencan;['buat', 'situs', 'kencan'];['buat', 'situs', 'kencan'];['situs', 'kencan']
Bagus untuk menempatkan foto dan …;Bagus untuk menempatkan foto dan;['bagus', 'untuk', 'menempatkan', 'foto', 'dan'];['bagus', 'untuk', 'menempatkan', 'foto', 'dan'];['bagus', 'menempatkan', 'foto']
tempat yang bagus untuk …;tempat yang bagus untuk;['tempat', 'yang', 'bagus', 'untuk'];['tempat', 'yang', 'bagus', 'untuk'];['bagus']
Kurang bersih;Kurang bersih;['kurang', 'bersih'];['kurang', 'bersih'];['bersih']
Klasik;Klasik;['klasik'];['klasik'];['klasik']
Tidak direkomen …;Tidak direkomen;['tidak', 'direkomen'];['tidak', 'direkomen'];['direkomen']
Bagus …;Bagus;['bagus'];['bagus'];['bagus']
Butuh perbaikan;Butuh perbaikan;['butuh', 'perbaikan'];['butuh', 'perbaikan'];['butuh', 'perbaikan']
Tempat yang bagus …;Tempat yang bagus;['tempat', 'yang', 'bagus'];['tempat', 'yang', 'bagus'];['bagus']
Komplainsssss;Komplainsssss;['komplainsssss'];['komplainsssss'];['komplainsssss']
Emmiuuuuaaaahhh …;Emmiuuuuaaaahhh;['emmiuuuuaaaahhh'];['emmiuuuuaaaahhh'];['emmiuuuuaaaahhh']
Seharusnya jadi destinasi yang oke untuk didatangi tapi ternyata kondisinya sangat tidak terawat! Nggak ada penjual sama sekali di dalam tempat wisata ini, cafe-nya pun tutup. Spot fotonya agak berbahaya karena kayu sudah reyot. Di bagian …;Seharusnya jadi destinasi yang oke untuk didatangi tapi ternyata kondisinya sangat tidak terawat Nggak ada penjual sama sekali di dalam tempat wisata ini cafenya pun tutup Spot fotonya agak berbahaya karena kayu sudah reyot Di bagian;['seharusnya', 'jadi', 'destinasi', 'yang', 'oke', 'untuk', 'didatangi', 'tapi', 'ternyata', 'kondisinya', 'sangat', 'tidak', 'terawat', 'nggak', 'ada', 'penjual', 'sama', 'sekali', 'di', 'dalam', 'tempat', 'wisata', 'ini', 'cafenya', 'pun', 'tutup', 'spot', 'fotonya', 'agak', 'berbahaya', 'karena', 'kayu', 'sudah', 'reyot', 'di', 'bagian'];['seharusnya', 'jadi', 'destinasi', 'yang', 'oke', 'untuk', 'didatangi', 'tapi', 'ternyata', 'kondisinya', 'sangat', 'tidak', 'terawat', 'enggak', 'ada', 'penjual', 'sama', 'sekali', 'di', 'dalam', 'tempat', 'wisata', 'ini', 'cafenya', 'pun', 'tutup', 'spot', 'fotonya', 'agak', 'berbahaya', 'karena', 'kayu', 'sudah', 'reyot', 'di', 'bagian'];['destinasi', 'oke', 'didatangi', 'kondisinya', 'terawat', 'penjual', 'wisata', 'cafenya', 'tutup', 'spot', 'fotonya', 'berbahaya', 'kayu', 'reyot']
Bagus menarik;Bagus menarik;['bagus', 'menarik'];['bagus', 'menarik'];['bagus', 'menarik']
Bagusss;Bagusss;['bagusss'];['bagus'];['bagus']
Pemandangan dari atas bagus, udaranya segar, tapi akses jalan menuju lokasi wisata masih jauh dari layak (jalan sempit menembus kampung, hanya muat untuk 1 mobil), fasilitas tempat wisata juga masih sangat kurang;Pemandangan dari atas bagus udaranya segar tapi akses jalan menuju lokasi wisata masih jauh dari layak jalan sempit menembus kampung hanya muat untuk mobil fasilitas tempat wisata juga masih sangat kurang;['pemandangan', 'dari', 'atas', 'bagus', 'udaranya', 'segar', 'tapi', 'akses', 'jalan', 'menuju', 'lokasi', 'wisata', 'masih', 'jauh', 'dari', 'layak', 'jalan', 'sempit', 'menembus', 'kampung', 'hanya', 'muat', 'untuk', 'mobil', 'fasilitas', 'tempat', 'wisata', 'juga', 'masih', 'sangat', 'kurang'];['pemandangan', 'dari', 'atas', 'bagus', 'udaranya', 'segar', 'tapi', 'akses', 'jalan', 'menuju', 'lokasi', 'wisata', 'masih', 'jauh', 'dari', 'layak', 'jalan', 'sempit', 'menembus', 'kampung', 'hanya', 'muat', 'untuk', 'mobil', 'fasilitas', 'tempat', 'wisata', 'juga', 'masih', 'sangat', 'kurang'];['pemandangan', 'bagus', 'udaranya', 'segar', 'akses', 'jalan', 'lokasi', 'wisata', 'layak', 'jalan', 'sempit', 'menembus', 'kampung', 'muat', 'mobil', 'fasilitas', 'wisata']
Tempatnya bagus,pemandangan bernuansa alam.;Tempatnya baguspemandangan bernuansa alam;['tempatnya', 'baguspemandangan', 'bernuansa', 'alam'];['tempatnya', 'baguspemandangan', 'bernuansa', 'alam'];['tempatnya', 'baguspemandangan', 'bernuansa', 'alam']
tempat di ujung sumenep madura, tempat asik buat healing di pedesaan yang bersahaja... …;tempat di ujung sumenep madura tempat asik buat healing di pedesaan yang bersahaja;['tempat', 'di', 'ujung', 'sumenep', 'madura', 'tempat', 'asik', 'buat', 'healing', 'di', 'pedesaan', 'yang', 'bersahaja'];['tempat', 'di', 'ujung', 'sumenep', 'madura', 'tempat', 'asik', 'buat', 'healing', 'di', 'pedesaan', 'yang', 'bersahaja'];['ujung', 'sumenep', 'madura', 'asik', 'healing', 'pedesaan', 'bersahaja']
Tempatnya sudah tidak terawat;Tempatnya sudah tidak terawat;['tempatnya', 'sudah', 'tidak', 'terawat'];['tempatnya', 'sudah', 'tidak', 'terawat'];['tempatnya', 'terawat']
Pemandangan sih bagus tapi Parkir kurang aman sangat disayangkan ada oknum yg sengaja menukar tutup kunci vario 150 punya saya di ambil dan ditukar sama yg rusak. Saya taunya pas sdh dikota mau balik sudah kejauhan. Cukup tau sekali...;Pemandangan sih bagus tapi Parkir kurang aman sangat disayangkan ada oknum yg sengaja menukar tutup kunci vario punya saya di ambil dan ditukar sama yg rusak Saya taunya pas sdh dikota mau balik sudah kejauhan Cukup tau sekali;['pemandangan', 'sih', 'bagus', 'tapi', 'parkir', 'kurang', 'aman', 'sangat', 'disayangkan', 'ada', 'oknum', 'yg', 'sengaja', 'menukar', 'tutup', 'kunci', 'vario', 'punya', 'saya', 'di', 'ambil', 'dan', 'ditukar', 'sama', 'yg', 'rusak', 'saya', 'taunya', 'pas', 'sdh', 'dikota', 'mau', 'balik', 'sudah', 'kejauhan', 'cukup', 'tau', 'sekali'];['pemandangan', 'sih', 'bagus', 'tapi', 'parkir', 'kurang', 'aman', 'sangat', 'disayangkan', 'ada', 'oknum', 'yang', 'sengaja', 'menukar', 'tutup', 'kunci', 'vario', 'punya', 'saya', 'di', 'ambil', 'dan', 'ditukar', 'sama', 'yang', 'rusak', 'saya', 'taunya', 'pas', 'sudah', 'dikota', 'mau', 'balik', 'sudah', 'kejauhan', 'cukup', 'tau', 'sekali'];['pemandangan', 'bagus', 'parkir', 'aman', 'disayangkan', 'oknum', 'sengaja', 'menukar', 'tutup', 'kunci', 'vario', 'ambil', 'ditukar', 'rusak', 'taunya', 'pas', 'dikota', 'kejauhan']
Sebuah bukit yang dikelola masyarakat dengan baik dan bagus untuk wisata. Sisi lain madura biar ga pantai pantai saja terus, madura pada umumnya dan Sumenep khususnya punya wisata yang bagus. Kita bisa berwisata diketinggian dan berfoto ria …;Sebuah bukit yang dikelola masyarakat dengan baik dan bagus untuk wisata Sisi lain madura biar ga pantai pantai saja terus madura pada umumnya dan Sumenep khususnya punya wisata yang bagus Kita bisa berwisata diketinggian dan berfoto ria;['sebuah', 'bukit', 'yang', 'dikelola', 'masyarakat', 'dengan', 'baik', 'dan', 'bagus', 'untuk', 'wisata', 'sisi', 'lain', 'madura', 'biar', 'ga', 'pantai', 'pantai', 'saja', 'terus', 'madura', 'pada', 'umumnya', 'dan', 'sumenep', 'khususnya', 'punya', 'wisata', 'yang', 'bagus', 'kita', 'bisa', 'berwisata', 'diketinggian', 'dan', 'berfoto', 'ria'];['sebuah', 'bukit', 'yang', 'dikelola', 'masyarakat', 'dengan', 'baik', 'dan', 'bagus', 'untuk', 'wisata', 'sisi', 'lain', 'madura', 'biar', 'enggak', 'pantai', 'pantai', 'saja', 'terus', 'madura', 'pada', 'umumnya', 'dan', 'sumenep', 'khususnya', 'punya', 'wisata', 'yang', 'bagus', 'kita', 'bisa', 'berwisata', 'diketinggian', 'dan', 'berfoto', 'ria'];['bukit', 'dikelola', 'masyarakat', 'bagus', 'wisata', 'sisi', 'madura', 'pantai', 'pantai', 'madura', 'sumenep', 'wisata', 'bagus', 'berwisata', 'diketinggian', 'berfoto', 'ria']
Wisata busuk, penjaganya gak jujur, gak menyampaikan apa adanya bahkan menyampaikan se akan2 indah. Ternyata sampai di dalam kayak hutan rimba. Jangan di kunjungi lagi;Wisata busuk penjaganya gak jujur gak menyampaikan apa adanya bahkan menyampaikan se akan indah Ternyata sampai di dalam kayak hutan rimba Jangan di kunjungi lagi;['wisata', 'busuk', 'penjaganya', 'gak', 'jujur', 'gak', 'menyampaikan', 'apa', 'adanya', 'bahkan', 'menyampaikan', 'se', 'akan', 'indah', 'ternyata', 'sampai', 'di', 'dalam', 'kayak', 'hutan', 'rimba', 'jangan', 'di', 'kunjungi', 'lagi'];['wisata', 'busuk', 'penjaganya', 'enggak', 'jujur', 'enggak', 'menyampaikan', 'apa', 'adanya', 'bahkan', 'menyampaikan', 'se', 'akan', 'indah', 'ternyata', 'sampai', 'di', 'dalam', 'kayak', 'hutan', 'rimba', 'jangan', 'di', 'kunjungi', 'lagi'];['wisata', 'busuk', 'penjaganya', 'jujur', 'indah', 'kayak', 'hutan', 'rimba', 'kunjungi']
spot fotonya bagus terutama di sepeda gantung, gak kalah sama tempat wisata yang lain yang serupa.;spot fotonya bagus terutama di sepeda gantung gak kalah sama tempat wisata yang lain yang serupa;['spot', 'fotonya', 'bagus', 'terutama', 'di', 'sepeda', 'gantung', 'gak', 'kalah', 'sama', 'tempat', 'wisata', 'yang', 'lain', 'yang', 'serupa'];['spot', 'fotonya', 'bagus', 'terutama', 'di', 'sepeda', 'gantung', 'enggak', 'kalah', 'sama', 'tempat', 'wisata', 'yang', 'lain', 'yang', 'serupa'];['spot', 'fotonya', 'bagus', 'sepeda', 'gantung', 'kalah', 'wisata']
Bagus banyak tempat instagramabel, dan masih sangat bisa dikembangkan lagi menjadi wisata yang hits..;Bagus banyak tempat instagramabel dan masih sangat bisa dikembangkan lagi menjadi wisata yang hits;['bagus', 'banyak', 'tempat', 'instagramabel', 'dan', 'masih', 'sangat', 'bisa', 'dikembangkan', 'lagi', 'menjadi', 'wisata', 'yang', 'hits'];['bagus', 'banyak', 'tempat', 'instagramabel', 'dan', 'masih', 'sangat', 'bisa', 'dikembangkan', 'lagi', 'menjadi', 'wisata', 'yang', 'hits'];['bagus', 'instagramabel', 'dikembangkan', 'wisata', 'hits']
Pemandanganny indah dilihat dr atas.. tp sayang kurang perawatan pasilitasny. Pdhl tempatny bagus.;Pemandanganny indah dilihat dr atas tp sayang kurang perawatan pasilitasny Pdhl tempatny bagus;['pemandanganny', 'indah', 'dilihat', 'dr', 'atas', 'tp', 'sayang', 'kurang', 'perawatan', 'pasilitasny', 'pdhl', 'tempatny', 'bagus'];['pemandanganny', 'indah', 'dilihat', 'dari', 'atas', 'tapi', 'sayang', 'kurang', 'perawatan', 'pasilitasny', 'padahal', 'tempatny', 'bagus'];['pemandanganny', 'indah', 'sayang', 'perawatan', 'pasilitasny', 'tempatny', 'bagus']
Tempat masih oke, tapi daun daun sudah tidak di sapu, seperti tidak di rawat lagi, mungkin karna sudah mulai sepi pengunjung.;Tempat masih oke tapi daun daun sudah tidak di sapu seperti tidak di rawat lagi mungkin karna sudah mulai sepi pengunjung;['tempat', 'masih', 'oke', 'tapi', 'daun', 'daun', 'sudah', 'tidak', 'di', 'sapu', 'seperti', 'tidak', 'di', 'rawat', 'lagi', 'mungkin', 'karna', 'sudah', 'mulai', 'sepi', 'pengunjung'];['tempat', 'masih', 'oke', 'tapi', 'daun', 'daun', 'sudah', 'tidak', 'di', 'sapu', 'seperti', 'tidak', 'di', 'rawat', 'lagi', 'mungkin', 'karena', 'sudah', 'mulai', 'sepi', 'pengunjung'];['oke', 'daun', 'daun', 'sapu', 'rawat', 'sepi', 'pengunjung']
"Kamar mandi KOTOR DAN JOROK.
Kapok deh kesitu lagi";Kamar mandi KOTOR DAN JOROK Kapok deh kesitu lagi;['kamar', 'mandi', 'kotor', 'dan', 'jorok', 'kapok', 'deh', 'kesitu', 'lagi'];['kamar', 'mandi', 'kotor', 'dan', 'jorok', 'kapok', 'deh', 'kesitu', 'lagi'];['kamar', 'mandi', 'kotor', 'jorok', 'kapok', 'deh', 'kesitu']
Sekarang tempatnya kurang terawat;Sekarang tempatnya kurang terawat;['sekarang', 'tempatnya', 'kurang', 'terawat'];['sekarang', 'tempatnya', 'kurang', 'terawat'];['tempatnya', 'terawat']
Tempat yg nyaman;Tempat yg nyaman;['tempat', 'yg', 'nyaman'];['tempat', 'yang', 'nyaman'];['nyaman']
Sangat menyenangkan;Sangat menyenangkan;['sangat', 'menyenangkan'];['sangat', 'menyenangkan'];['menyenangkan']
Enak sambil lalu Karaoekan;Enak sambil lalu Karaoekan;['enak', 'sambil', 'lalu', 'karaoekan'];['enak', 'sambil', 'lalu', 'karaoekan'];['enak', 'karaoekan']
Bagus;Bagus;['bagus'];['bagus'];['bagus']
MasyaAllah viewnya bagus ??;MasyaAllah viewnya bagus;['masyaallah', 'viewnya', 'bagus'];['masyaallah', 'viewnya', 'bagus'];['masyaallah', 'viewnya', 'bagus']
Asyiknya jalan-jalan;Asyiknya jalanjalan;['asyiknya', 'jalanjalan'];['asyiknya', 'jalanjalan'];['asyiknya', 'jalanjalan']
Jalanan k tempat agak susah. Lagi beruntung karena hari biasa dan siang hari, jadi tidak ada pengunjung lain. Serasa VIP ?? Mas nya baik banget nunjukin tempat2 foto, semi tur guide, sekaligus jd fotografer  ?? …;Jalanan k tempat agak susah Lagi beruntung karena hari biasa dan siang hari jadi tidak ada pengunjung lain Serasa VIP Mas nya baik banget nunjukin tempat foto semi tur guide sekaligus jd fotografer;['jalanan', 'k', 'tempat', 'agak', 'susah', 'lagi', 'beruntung', 'karena', 'hari', 'biasa', 'dan', 'siang', 'hari', 'jadi', 'tidak', 'ada', 'pengunjung', 'lain', 'serasa', 'vip', 'mas', 'nya', 'baik', 'banget', 'nunjukin', 'tempat', 'foto', 'semi', 'tur', 'guide', 'sekaligus', 'jd', 'fotografer'];['jalanan', 'ke', 'tempat', 'agak', 'susah', 'lagi', 'beruntung', 'karena', 'hari', 'biasa', 'dan', 'siang', 'hari', 'jadi', 'tidak', 'ada', 'pengunjung', 'lain', 'serasa', 'vip', 'mas', 'nya', 'baik', 'banget', 'nunjukin', 'tempat', 'foto', 'semi', 'tur', 'guide', 'sekaligus', 'jadi', 'fotografer'];['jalanan', 'susah', 'beruntung', 'siang', 'pengunjung', 'serasa', 'vip', 'mas', 'banget', 'nunjukin', 'foto', 'semi', 'tur', 'guide', 'fotografer']
"Ga dikelola secara khusus. Mungkin karna emang area pertambangan aktiv ya.. masih ada aktivitas.
Bagus buat spot foto, tapi air kolamnya ga selalu ada. Musim hujan aja ga tentu …";Ga dikelola secara khusus Mungkin karna emang area pertambangan aktiv ya masih ada aktivitas Bagus buat spot foto tapi air kolamnya ga selalu ada Musim hujan aja ga tentu;['ga', 'dikelola', 'secara', 'khusus', 'mungkin', 'karna', 'emang', 'area', 'pertambangan', 'aktiv', 'ya', 'masih', 'ada', 'aktivitas', 'bagus', 'buat', 'spot', 'foto', 'tapi', 'air', 'kolamnya', 'ga', 'selalu', 'ada', 'musim', 'hujan', 'aja', 'ga', 'tentu'];['enggak', 'dikelola', 'secara', 'khusus', 'mungkin', 'karena', 'memang', 'area', 'pertambangan', 'aktiv', 'ya', 'masih', 'ada', 'aktivitas', 'bagus', 'buat', 'spot', 'foto', 'tapi', 'air', 'kolamnya', 'enggak', 'selalu', 'ada', 'musim', 'hujan', 'saja', 'enggak', 'tentu'];['dikelola', 'khusus', 'area', 'pertambangan', 'aktiv', 'aktivitas', 'bagus', 'spot', 'foto', 'air', 'kolamnya', 'musim', 'hujan']
Gersang hanya ada bukit kapur,bentuknya bgs jg sih bks diambilin trs batunya;Gersang hanya ada bukit kapurbentuknya bgs jg sih bks diambilin trs batunya;['gersang', 'hanya', 'ada', 'bukit', 'kapurbentuknya', 'bgs', 'jg', 'sih', 'bks', 'diambilin', 'trs', 'batunya'];['gersang', 'hanya', 'ada', 'bukit', 'kapurbentuknya', 'bagus', 'juga', 'sih', 'bks', 'diambilin', 'terus', 'batunya'];['gersang', 'bukit', 'kapurbentuknya', 'bagus', 'bks', 'diambilin', 'batunya']
"Semacam tebing kapur bekas galian tambang.
Jalan kesana lumayan tidak bagus, serasa off road. Cuacanya panasss banget. Jangan lupa pakai sunscreen dan sunglasses. …";Semacam tebing kapur bekas galian tambang Jalan kesana lumayan tidak bagus serasa off road Cuacanya panasss banget Jangan lupa pakai sunscreen dan sunglasses;['semacam', 'tebing', 'kapur', 'bekas', 'galian', 'tambang', 'jalan', 'kesana', 'lumayan', 'tidak', 'bagus', 'serasa', 'off', 'road', 'cuacanya', 'panasss', 'banget', 'jangan', 'lupa', 'pakai', 'sunscreen', 'dan', 'sunglasses'];['semacam', 'tebing', 'kapur', 'bekas', 'galian', 'tambang', 'jalan', 'kesana', 'lumayan', 'tidak', 'bagus', 'serasa', 'off', 'road', 'cuacanya', 'panasss', 'banget', 'jangan', 'lupa', 'pakai', 'sunscreen', 'dan', 'sunglasses'];['tebing', 'kapur', 'bekas', 'galian', 'tambang', 'jalan', 'kesana', 'lumayan', 'bagus', 'serasa', 'off', 'road', 'cuacanya', 'panasss', 'banget', 'lupa', 'pakai', 'sunscreen', 'sunglasses']
Asli bagus banget, ga tau suka aja tempat yang alam banget kaya gini. Sayangnya akses jalannya yang minta ampun jelek banget. Belum aspal juga pas masuknya. Jadi berdebu banget. Terus harus bayar tiket 2x, buat masuk mobil bayar 20k. ;Asli bagus banget ga tau suka aja tempat yang alam banget kaya gini Sayangnya akses jalannya yang minta ampun jelek banget Belum aspal juga pas masuknya Jadi berdebu banget Terus harus bayar tiket x buat masuk mobil bayar k;['asli', 'bagus', 'banget', 'ga', 'tau', 'suka', 'aja', 'tempat', 'yang', 'alam', 'banget', 'kaya', 'gini', 'sayangnya', 'akses', 'jalannya', 'yang', 'minta', 'ampun', 'jelek', 'banget', 'belum', 'aspal', 'juga', 'pas', 'masuknya', 'jadi', 'berdebu', 'banget', 'terus', 'harus', 'bayar', 'tiket', 'x', 'buat', 'masuk', 'mobil', 'bayar', 'k'];['asli', 'bagus', 'banget', 'enggak', 'tau', 'suka', 'saja', 'tempat', 'yang', 'alam', 'banget', 'kayak', 'begini', 'sayangnya', 'akses', 'jalannya', 'yang', 'meminta', 'ampun', 'jelek', 'banget', 'belum', 'aspal', 'juga', 'pas', 'masuknya', 'jadi', 'berdebu', 'banget', 'terus', 'harus', 'bayar', 'tiket', 'kali', 'buat', 'masuk', 'mobil', 'bayar', 'ke'];['asli', 'bagus', 'banget', 'suka', 'alam', 'banget', 'kayak', 'sayangnya', 'akses', 'jalannya', 'ampun', 'jelek', 'banget', 'aspal', 'pas', 'masuknya', 'berdebu', 'banget', 'bayar', 'tiket', 'kali', 'masuk', 'mobil', 'bayar']
