komentar;cleaning;tokenize;normalize;stopword
Bagus sudah ada pemandunya jadi bisa tau sejarahnya tempo dulu;Bagus sudah ada pemandunya jadi bisa tau sejarahnya tempo dulu;['bagus', 'sudah', 'ada', 'pemandunya', 'jadi', 'bisa', 'tau', 'sejarahnya', 'tempo', 'dulu'];['bagus', 'sudah', 'ada', 'pemandunya', 'jadi', 'bisa', 'tau', 'sejarahnya', 'tempo', 'dulu'];['bagus', 'pemandunya', 'sejarahnya', 'tempo']
Makam keluarga raja yg masih banyak d kunjung para peziarah dari segalapenjuru &selalu ada si bolang yg selalu muncul yg polos;Makam keluarga raja yg masih banyak d kunjung para peziarah dari segalapenjuru selalu ada si bolang yg selalu muncul yg polos;['makam', 'keluarga', 'raja', 'yg', 'masih', 'banyak', 'd', 'kunjung', 'para', 'peziarah', 'dari', 'segalapenjuru', 'selalu', 'ada', 'si', 'bolang', 'yg', 'selalu', 'muncul', 'yg', 'polos'];['makam', 'keluarga', 'raja', 'yang', 'masih', 'banyak', 'di', 'kunjung', 'para', 'peziarah', 'dari', 'segalapenjuru', 'selalu', 'ada', 'sih', 'bocah petualang', 'yang', 'selalu', 'muncul', 'yang', 'polos'];['makam', 'keluarga', 'raja', 'kunjung', 'peziarah', 'segalapenjuru', 'bocah petualang', 'muncul', 'polos']
Tempat bersejarah, namun kurang terawat, rehabnya tidak bergaya klasik.;Tempat bersejarah namun kurang terawat rehabnya tidak bergaya klasik;['tempat', 'bersejarah', 'namun', 'kurang', 'terawat', 'rehabnya', 'tidak', 'bergaya', 'klasik'];['tempat', 'bersejarah', 'namun', 'kurang', 'terawat', 'rehabnya', 'tidak', 'bergaya', 'klasik'];['bersejarah', 'terawat', 'rehabnya', 'bergaya', 'klasik']
Museum tempat peninggalan Kerajaan Sumenep di Pulau Madura, biaya masuknya 2.000/orang.;Museum tempat peninggalan Kerajaan Sumenep di Pulau Madura biaya masuknya orang;['museum', 'tempat', 'peninggalan', 'kerajaan', 'sumenep', 'di', 'pulau', 'madura', 'biaya', 'masuknya', 'orang'];['museum', 'tempat', 'peninggalan', 'kerajaan', 'sumenep', 'di', 'pulau', 'madura', 'biaya', 'masuknya', 'orang'];['museum', 'peninggalan', 'kerajaan', 'sumenep', 'pulau', 'madura', 'biaya', 'masuknya', 'orang']
Satu-satunya kompleks Museum dan Keraton yang ada di Pulau Madura serta terbuka untuk umum;Satusatunya kompleks Museum dan Keraton yang ada di Pulau Madura serta terbuka untuk umum;['satusatunya', 'kompleks', 'museum', 'dan', 'keraton', 'yang', 'ada', 'di', 'pulau', 'madura', 'serta', 'terbuka', 'untuk', 'umum'];['satusatunya', 'kompleks', 'museum', 'dan', 'keraton', 'yang', 'ada', 'di', 'pulau', 'madura', 'serta', 'terbuka', 'untuk', 'umum'];['satusatunya', 'kompleks', 'museum', 'keraton', 'pulau', 'madura', 'terbuka']
Sayang kebersihan nya kurang dijaga....;Sayang kebersihan nya kurang dijaga;['sayang', 'kebersihan', 'nya', 'kurang', 'dijaga'];['sayang', 'kebersihan', 'nya', 'kurang', 'dijaga'];['sayang', 'kebersihan', 'dijaga']
Keraton yang masih lengkap keberadaannya di jawa timur;Keraton yang masih lengkap keberadaannya di jawa timur;['keraton', 'yang', 'masih', 'lengkap', 'keberadaannya', 'di', 'jawa', 'timur'];['keraton', 'yang', 'masih', 'lengkap', 'keberadaannya', 'di', 'jawa', 'timur'];['keraton', 'lengkap', 'keberadaannya', 'jawa', 'timur']
"Bagus cuma agak kurang terawat koleksinya...
pemandunya sangat ramah";Bagus cuma agak kurang terawat koleksinya pemandunya sangat ramah;['bagus', 'cuma', 'agak', 'kurang', 'terawat', 'koleksinya', 'pemandunya', 'sangat', 'ramah'];['bagus', 'cuma', 'agak', 'kurang', 'terawat', 'koleksinya', 'pemandunya', 'sangat', 'ramah'];['bagus', 'terawat', 'koleksinya', 'pemandunya', 'ramah']
Kunjungi museum kraton sumenep.. dijamin seru.. travel sambil belajar.. sejarah itu penting tretan!!;Kunjungi museum kraton sumenep dijamin seru travel sambil belajar sejarah itu penting tretan;['kunjungi', 'museum', 'kraton', 'sumenep', 'dijamin', 'seru', 'travel', 'sambil', 'belajar', 'sejarah', 'itu', 'penting', 'tretan'];['kunjungi', 'museum', 'kraton', 'sumenep', 'dijamin', 'seru', 'travel', 'sambil', 'belajar', 'sejarah', 'itu', 'penting', 'tretan'];['kunjungi', 'museum', 'kraton', 'sumenep', 'dijamin', 'seru', 'travel', 'belajar', 'sejarah', 'tretan']
Tempat bersejarah sekaligus bisa jadi tujuan wisata bersama keluarga. Ukiran pada perabot rumah sangat bagus . Tempatnya cukup teduh bisa untuk melepaskan penat sejenak setelah keliling kota sumenep;Tempat bersejarah sekaligus bisa jadi tujuan wisata bersama keluarga Ukiran pada perabot rumah sangat bagus Tempatnya cukup teduh bisa untuk melepaskan penat sejenak setelah keliling kota sumenep;['tempat', 'bersejarah', 'sekaligus', 'bisa', 'jadi', 'tujuan', 'wisata', 'bersama', 'keluarga', 'ukiran', 'pada', 'perabot', 'rumah', 'sangat', 'bagus', 'tempatnya', 'cukup', 'teduh', 'bisa', 'untuk', 'melepaskan', 'penat', 'sejenak', 'setelah', 'keliling', 'kota', 'sumenep'];['tempat', 'bersejarah', 'sekaligus', 'bisa', 'jadi', 'tujuan', 'wisata', 'bersama', 'keluarga', 'ukiran', 'pada', 'perabot', 'rumah', 'sangat', 'bagus', 'tempatnya', 'cukup', 'teduh', 'bisa', 'untuk', 'melepaskan', 'penat', 'sejenak', 'setelah', 'keliling', 'kota', 'sumenep'];['bersejarah', 'tujuan', 'wisata', 'keluarga', 'ukiran', 'perabot', 'rumah', 'bagus', 'tempatnya', 'teduh', 'melepaskan', 'penat', 'keliling', 'kota', 'sumenep']
Dapat mengetahui sejarah raja sumenep;Dapat mengetahui sejarah raja sumenep;['dapat', 'mengetahui', 'sejarah', 'raja', 'sumenep'];['dapat', 'mengetahui', 'sejarah', 'raja', 'sumenep'];['sejarah', 'raja', 'sumenep']
Buat yang seneng sejarah.. ada baiknya baca2 dulu latar belakang tentang keraton sumenep. Barang2 peninggalan lumayan banyak, sayang tempatnya kurang dirawat dan dijaga dengan optimal. Ada area2 yang belum dieksplorasi secara mendalam;Buat yang seneng sejarah ada baiknya baca dulu latar belakang tentang keraton sumenep Barang peninggalan lumayan banyak sayang tempatnya kurang dirawat dan dijaga dengan optimal Ada area yang belum dieksplorasi secara mendalam;['buat', 'yang', 'seneng', 'sejarah', 'ada', 'baiknya', 'baca', 'dulu', 'latar', 'belakang', 'tentang', 'keraton', 'sumenep', 'barang', 'peninggalan', 'lumayan', 'banyak', 'sayang', 'tempatnya', 'kurang', 'dirawat', 'dan', 'dijaga', 'dengan', 'optimal', 'ada', 'area', 'yang', 'belum', 'dieksplorasi', 'secara', 'mendalam'];['buat', 'yang', 'senang', 'sejarah', 'ada', 'baiknya', 'baca', 'dulu', 'latar', 'belakang', 'tentang', 'keraton', 'sumenep', 'barang', 'peninggalan', 'lumayan', 'banyak', 'sayang', 'tempatnya', 'kurang', 'dirawat', 'dan', 'dijaga', 'dengan', 'optimal', 'ada', 'area', 'yang', 'belum', 'dieksplorasi', 'secara', 'mendalam'];['senang', 'sejarah', 'baiknya', 'baca', 'latar', 'keraton', 'sumenep', 'barang', 'peninggalan', 'lumayan', 'sayang', 'tempatnya', 'dirawat', 'dijaga', 'optimal', 'area', 'dieksplorasi', 'mendalam']
"Tempat bersejarah orang2 sumenep...memiliki peninggalan2 antik yg luar biasa.museum ini memiliki gerbang yg bernama ""labang mesem"" ,yg didirikan pd masa jokotole.";Tempat bersejarah orang sumenepmemiliki peninggalan antik yg luar biasamuseum ini memiliki gerbang yg bernama labang mesem yg didirikan pd masa jokotole;['tempat', 'bersejarah', 'orang', 'sumenepmemiliki', 'peninggalan', 'antik', 'yg', 'luar', 'biasamuseum', 'ini', 'memiliki', 'gerbang', 'yg', 'bernama', 'labang', 'mesem', 'yg', 'didirikan', 'pd', 'masa', 'jokotole'];['tempat', 'bersejarah', 'orang', 'sumenepmemiliki', 'peninggalan', 'antik', 'yang', 'luar', 'biasamuseum', 'ini', 'memiliki', 'gerbang', 'yang', 'bernama', 'labang', 'mesem', 'yang', 'didirikan', 'pada', 'masa', 'jokotole'];['bersejarah', 'orang', 'sumenepmemiliki', 'peninggalan', 'antik', 'biasamuseum', 'memiliki', 'gerbang', 'bernama', 'labang', 'mesem', 'didirikan', 'jokotole']
Bisa nambah wawasan sejarah, dan ngajari anak2 tentang sejarah yg ada di sumenep. Di mulai dari diri sendiri dulu mencintai dan menjaga budaya trus di tularin ke anak2, trus ke kalian. Monggo berkunjung?????? …;Bisa nambah wawasan sejarah dan ngajari anak tentang sejarah yg ada di sumenep Di mulai dari diri sendiri dulu mencintai dan menjaga budaya trus di tularin ke anak trus ke kalian Monggo berkunjung;['bisa', 'nambah', 'wawasan', 'sejarah', 'dan', 'ngajari', 'anak', 'tentang', 'sejarah', 'yg', 'ada', 'di', 'sumenep', 'di', 'mulai', 'dari', 'diri', 'sendiri', 'dulu', 'mencintai', 'dan', 'menjaga', 'budaya', 'trus', 'di', 'tularin', 'ke', 'anak', 'trus', 'ke', 'kalian', 'monggo', 'berkunjung'];['bisa', 'menambah', 'wawasan', 'sejarah', 'dan', 'ngajari', 'anak', 'tentang', 'sejarah', 'yang', 'ada', 'di', 'sumenep', 'di', 'mulai', 'dari', 'diri', 'sendiri', 'dulu', 'mencintai', 'dan', 'menjaga', 'budaya', 'terus', 'di', 'tularin', 'ke', 'anak', 'terus', 'ke', 'kalian', 'monggo', 'berkunjung'];['menambah', 'wawasan', 'sejarah', 'ngajari', 'anak', 'sejarah', 'sumenep', 'mencintai', 'menjaga', 'budaya', 'tularin', 'anak', 'monggo', 'berkunjung']
